codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_doencas_exantematicas_sarampo_e_rubeola
316990,Ubá,2021,2,2021-2-01,0
316990,Ubá,2021,3,2021-3-01,0
316990,Ubá,2021,4,2021-4-01,0
316990,Ubá,2021,5,2021-5-01,0
310170,Almenara,2020,1,2020-1-01,0
310170,Almenara,2020,2,2020-2-01,1
310170,Almenara,2020,3,2020-3-01,0
310170,Almenara,2020,4,2020-4-01,0
310170,Almenara,2020,5,2020-5-01,1
310170,Almenara,2020,6,2020-6-01,0
310170,Almenara,2020,7,2020-7-01,0
310170,Almenara,2020,8,2020-8-01,0
310170,Almenara,2020,9,2020-9-01,0
310170,Almenara,2020,10,2020-10-01,1
310170,Almenara,2020,11,2020-11-01,0
310170,Almenara,2020,12,2020-12-01,0
310260,Andradas,2020,1,2020-1-01,0
310260,Andradas,2020,2,2020-2-01,0
310260,Andradas,2020,3,2020-3-01,0
310260,Andradas,2020,4,2020-4-01,0
310260,Andradas,2020,5,2020-5-01,0
310260,Andradas,2020,6,2020-6-01,0
310260,Andradas,2020,7,2020-7-01,0
310260,Andradas,2020,8,2020-8-01,0
310260,Andradas,2020,9,2020-9-01,0
310260,Andradas,2020,10,2020-10-01,1
310260,Andradas,2020,11,2020-11-01,0
310260,Andradas,2020,12,2020-12-01,0
310350,Araguari,2020,1,2020-1-01,0
310350,Araguari,2020,2,2020-2-01,1
310350,Araguari,2020,3,2020-3-01,0
310350,Araguari,2020,4,2020-4-01,1
310350,Araguari,2020,5,2020-5-01,0
310350,Araguari,2020,6,2020-6-01,0
310350,Araguari,2020,7,2020-7-01,1
310350,Araguari,2020,8,2020-8-01,0
310350,Araguari,2020,9,2020-9-01,0
310350,Araguari,2020,10,2020-10-01,0
310350,Araguari,2020,11,2020-11-01,1
310350,Araguari,2020,12,2020-12-01,0
310400,Araxá,2020,1,2020-1-01,0
310400,Araxá,2020,2,2020-2-01,0
310400,Araxá,2020,3,2020-3-01,0
310400,Araxá,2020,4,2020-4-01,0
310400,Araxá,2020,5,2020-5-01,0
310400,Araxá,2020,6,2020-6-01,0
310400,Araxá,2020,7,2020-7-01,0
310400,Araxá,2020,8,2020-8-01,0
310400,Araxá,2020,9,2020-9-01,0
310400,Araxá,2020,10,2020-10-01,0
310400,Araxá,2020,11,2020-11-01,0
310400,Araxá,2020,12,2020-12-01,1
310530,Bandeira do Sul,2020,1,2020-1-01,0
310530,Bandeira do Sul,2020,2,2020-2-01,0
310530,Bandeira do Sul,2020,3,2020-3-01,1
310530,Bandeira do Sul,2020,4,2020-4-01,0
310530,Bandeira do Sul,2020,5,2020-5-01,0
310530,Bandeira do Sul,2020,6,2020-6-01,0
310530,Bandeira do Sul,2020,7,2020-7-01,0
310530,Bandeira do Sul,2020,8,2020-8-01,0
310530,Bandeira do Sul,2020,9,2020-9-01,0
310530,Bandeira do Sul,2020,10,2020-10-01,0
310530,Bandeira do Sul,2020,11,2020-11-01,0
310530,Bandeira do Sul,2020,12,2020-12-01,0
310620,Belo Horizonte,2020,1,2020-1-01,11
310620,Belo Horizonte,2020,2,2020-2-01,6
310620,Belo Horizonte,2020,3,2020-3-01,20
310620,Belo Horizonte,2020,4,2020-4-01,4
310620,Belo Horizonte,2020,5,2020-5-01,2
310620,Belo Horizonte,2020,6,2020-6-01,3
310620,Belo Horizonte,2020,7,2020-7-01,2
310620,Belo Horizonte,2020,8,2020-8-01,2
310620,Belo Horizonte,2020,9,2020-9-01,1
310620,Belo Horizonte,2020,10,2020-10-01,1
310620,Belo Horizonte,2020,11,2020-11-01,2
310620,Belo Horizonte,2020,12,2020-12-01,5
310640,Belo Vale,2020,1,2020-1-01,0
310640,Belo Vale,2020,2,2020-2-01,1
310640,Belo Vale,2020,3,2020-3-01,0
310640,Belo Vale,2020,4,2020-4-01,0
310640,Belo Vale,2020,5,2020-5-01,0
310640,Belo Vale,2020,6,2020-6-01,0
310640,Belo Vale,2020,7,2020-7-01,0
310640,Belo Vale,2020,8,2020-8-01,0
310640,Belo Vale,2020,9,2020-9-01,0
310640,Belo Vale,2020,10,2020-10-01,0
310640,Belo Vale,2020,11,2020-11-01,0
310640,Belo Vale,2020,12,2020-12-01,0
310670,Betim,2020,1,2020-1-01,1
310670,Betim,2020,2,2020-2-01,2
310670,Betim,2020,3,2020-3-01,1
310670,Betim,2020,4,2020-4-01,2
310670,Betim,2020,5,2020-5-01,0
310670,Betim,2020,6,2020-6-01,0
310670,Betim,2020,7,2020-7-01,0
310670,Betim,2020,8,2020-8-01,0
310670,Betim,2020,9,2020-9-01,1
310670,Betim,2020,10,2020-10-01,0
310670,Betim,2020,11,2020-11-01,0
310670,Betim,2020,12,2020-12-01,1
310760,Bom Jesus da Penha,2020,1,2020-1-01,0
310760,Bom Jesus da Penha,2020,2,2020-2-01,1
310760,Bom Jesus da Penha,2020,3,2020-3-01,0
310760,Bom Jesus da Penha,2020,4,2020-4-01,0
310760,Bom Jesus da Penha,2020,5,2020-5-01,0
310760,Bom Jesus da Penha,2020,6,2020-6-01,0
310760,Bom Jesus da Penha,2020,7,2020-7-01,0
310760,Bom Jesus da Penha,2020,8,2020-8-01,0
310760,Bom Jesus da Penha,2020,9,2020-9-01,0
310760,Bom Jesus da Penha,2020,10,2020-10-01,0
310760,Bom Jesus da Penha,2020,11,2020-11-01,0
310760,Bom Jesus da Penha,2020,12,2020-12-01,0
311030,Caldas,2020,1,2020-1-01,0
311030,Caldas,2020,2,2020-2-01,0
311030,Caldas,2020,3,2020-3-01,0
311030,Caldas,2020,4,2020-4-01,0
311030,Caldas,2020,5,2020-5-01,0
311030,Caldas,2020,6,2020-6-01,0
311030,Caldas,2020,7,2020-7-01,0
311030,Caldas,2020,8,2020-8-01,0
311030,Caldas,2020,9,2020-9-01,1
311030,Caldas,2020,10,2020-10-01,0
311030,Caldas,2020,11,2020-11-01,0
311030,Caldas,2020,12,2020-12-01,0
311060,Cambuí,2020,1,2020-1-01,0
311060,Cambuí,2020,2,2020-2-01,1
311060,Cambuí,2020,3,2020-3-01,0
311060,Cambuí,2020,4,2020-4-01,0
311060,Cambuí,2020,5,2020-5-01,0
311060,Cambuí,2020,6,2020-6-01,0
311060,Cambuí,2020,7,2020-7-01,0
311060,Cambuí,2020,8,2020-8-01,0
311060,Cambuí,2020,9,2020-9-01,0
311060,Cambuí,2020,10,2020-10-01,0
311060,Cambuí,2020,11,2020-11-01,0
311060,Cambuí,2020,12,2020-12-01,0
311090,Campanha,2020,1,2020-1-01,0
311090,Campanha,2020,2,2020-2-01,0
311090,Campanha,2020,3,2020-3-01,0
311090,Campanha,2020,4,2020-4-01,5
311090,Campanha,2020,5,2020-5-01,0
311090,Campanha,2020,6,2020-6-01,0
311090,Campanha,2020,7,2020-7-01,0
311090,Campanha,2020,8,2020-8-01,0
311090,Campanha,2020,9,2020-9-01,0
311090,Campanha,2020,10,2020-10-01,0
311090,Campanha,2020,11,2020-11-01,0
311090,Campanha,2020,12,2020-12-01,0
311120,Campo Belo,2020,1,2020-1-01,1
311120,Campo Belo,2020,2,2020-2-01,0
311120,Campo Belo,2020,3,2020-3-01,0
311120,Campo Belo,2020,4,2020-4-01,0
311120,Campo Belo,2020,5,2020-5-01,0
311120,Campo Belo,2020,6,2020-6-01,0
311120,Campo Belo,2020,7,2020-7-01,0
311120,Campo Belo,2020,8,2020-8-01,0
311120,Campo Belo,2020,9,2020-9-01,0
311120,Campo Belo,2020,10,2020-10-01,0
311120,Campo Belo,2020,11,2020-11-01,0
311120,Campo Belo,2020,12,2020-12-01,0
311150,Campos Altos,2020,1,2020-1-01,0
311150,Campos Altos,2020,2,2020-2-01,0
311150,Campos Altos,2020,3,2020-3-01,0
311150,Campos Altos,2020,4,2020-4-01,0
311150,Campos Altos,2020,5,2020-5-01,1
311150,Campos Altos,2020,6,2020-6-01,0
311150,Campos Altos,2020,7,2020-7-01,0
311150,Campos Altos,2020,8,2020-8-01,0
311150,Campos Altos,2020,9,2020-9-01,0
311150,Campos Altos,2020,10,2020-10-01,0
311150,Campos Altos,2020,11,2020-11-01,0
311150,Campos Altos,2020,12,2020-12-01,0
311230,Capelinha,2020,1,2020-1-01,0
311230,Capelinha,2020,2,2020-2-01,0
311230,Capelinha,2020,3,2020-3-01,0
311230,Capelinha,2020,4,2020-4-01,0
311230,Capelinha,2020,5,2020-5-01,1
311230,Capelinha,2020,6,2020-6-01,0
311230,Capelinha,2020,7,2020-7-01,0
311230,Capelinha,2020,8,2020-8-01,1
311230,Capelinha,2020,9,2020-9-01,0
311230,Capelinha,2020,10,2020-10-01,0
311230,Capelinha,2020,11,2020-11-01,0
311230,Capelinha,2020,12,2020-12-01,0
311530,Cataguases,2020,1,2020-1-01,3
311530,Cataguases,2020,2,2020-2-01,0
311530,Cataguases,2020,3,2020-3-01,0
311530,Cataguases,2020,4,2020-4-01,0
311530,Cataguases,2020,5,2020-5-01,0
311530,Cataguases,2020,6,2020-6-01,0
311530,Cataguases,2020,7,2020-7-01,0
311530,Cataguases,2020,8,2020-8-01,0
311530,Cataguases,2020,9,2020-9-01,0
311530,Cataguases,2020,10,2020-10-01,0
311530,Cataguases,2020,11,2020-11-01,0
311530,Cataguases,2020,12,2020-12-01,0
311535,Catas Altas,2020,1,2020-1-01,0
311535,Catas Altas,2020,2,2020-2-01,1
311535,Catas Altas,2020,3,2020-3-01,0
311535,Catas Altas,2020,4,2020-4-01,0
311535,Catas Altas,2020,5,2020-5-01,0
311535,Catas Altas,2020,6,2020-6-01,0
311535,Catas Altas,2020,7,2020-7-01,0
311535,Catas Altas,2020,8,2020-8-01,0
311535,Catas Altas,2020,9,2020-9-01,0
311535,Catas Altas,2020,10,2020-10-01,0
311535,Catas Altas,2020,11,2020-11-01,0
311535,Catas Altas,2020,12,2020-12-01,0
311660,Cláudio,2020,1,2020-1-01,1
311660,Cláudio,2020,2,2020-2-01,0
311660,Cláudio,2020,3,2020-3-01,0
311660,Cláudio,2020,4,2020-4-01,0
311660,Cláudio,2020,5,2020-5-01,0
311660,Cláudio,2020,6,2020-6-01,0
311660,Cláudio,2020,7,2020-7-01,0
311660,Cláudio,2020,8,2020-8-01,0
311660,Cláudio,2020,9,2020-9-01,0
311660,Cláudio,2020,10,2020-10-01,0
311660,Cláudio,2020,11,2020-11-01,0
311660,Cláudio,2020,12,2020-12-01,0
311787,Confins,2020,1,2020-1-01,0
311787,Confins,2020,2,2020-2-01,0
311787,Confins,2020,3,2020-3-01,0
311787,Confins,2020,4,2020-4-01,0
311787,Confins,2020,5,2020-5-01,0
311787,Confins,2020,6,2020-6-01,0
311787,Confins,2020,7,2020-7-01,0
311787,Confins,2020,8,2020-8-01,0
311787,Confins,2020,9,2020-9-01,1
311787,Confins,2020,10,2020-10-01,0
311787,Confins,2020,11,2020-11-01,0
311787,Confins,2020,12,2020-12-01,0
311800,Congonhas,2020,1,2020-1-01,0
311800,Congonhas,2020,2,2020-2-01,0
311800,Congonhas,2020,3,2020-3-01,1
311800,Congonhas,2020,4,2020-4-01,0
311800,Congonhas,2020,5,2020-5-01,0
311800,Congonhas,2020,6,2020-6-01,0
311800,Congonhas,2020,7,2020-7-01,0
311800,Congonhas,2020,8,2020-8-01,0
311800,Congonhas,2020,9,2020-9-01,0
311800,Congonhas,2020,10,2020-10-01,0
311800,Congonhas,2020,11,2020-11-01,0
311800,Congonhas,2020,12,2020-12-01,0
311830,Conselheiro Lafaiete,2020,1,2020-1-01,2
311830,Conselheiro Lafaiete,2020,2,2020-2-01,1
311830,Conselheiro Lafaiete,2020,3,2020-3-01,0
311830,Conselheiro Lafaiete,2020,4,2020-4-01,0
311830,Conselheiro Lafaiete,2020,5,2020-5-01,0
311830,Conselheiro Lafaiete,2020,6,2020-6-01,0
311830,Conselheiro Lafaiete,2020,7,2020-7-01,0
311830,Conselheiro Lafaiete,2020,8,2020-8-01,0
311830,Conselheiro Lafaiete,2020,9,2020-9-01,0
311830,Conselheiro Lafaiete,2020,10,2020-10-01,0
311830,Conselheiro Lafaiete,2020,11,2020-11-01,0
311830,Conselheiro Lafaiete,2020,12,2020-12-01,0
311860,Contagem,2020,1,2020-1-01,2
311860,Contagem,2020,2,2020-2-01,3
311860,Contagem,2020,3,2020-3-01,2
311860,Contagem,2020,4,2020-4-01,0
311860,Contagem,2020,5,2020-5-01,0
311860,Contagem,2020,6,2020-6-01,0
311860,Contagem,2020,7,2020-7-01,0
311860,Contagem,2020,8,2020-8-01,0
311860,Contagem,2020,9,2020-9-01,0
311860,Contagem,2020,10,2020-10-01,0
311860,Contagem,2020,11,2020-11-01,0
311860,Contagem,2020,12,2020-12-01,2
311940,Coronel Fabriciano,2020,1,2020-1-01,0
311940,Coronel Fabriciano,2020,2,2020-2-01,0
311940,Coronel Fabriciano,2020,3,2020-3-01,0
311940,Coronel Fabriciano,2020,4,2020-4-01,0
311940,Coronel Fabriciano,2020,5,2020-5-01,0
311940,Coronel Fabriciano,2020,6,2020-6-01,0
311940,Coronel Fabriciano,2020,7,2020-7-01,0
311940,Coronel Fabriciano,2020,8,2020-8-01,0
311940,Coronel Fabriciano,2020,9,2020-9-01,0
311940,Coronel Fabriciano,2020,10,2020-10-01,1
311940,Coronel Fabriciano,2020,11,2020-11-01,0
311940,Coronel Fabriciano,2020,12,2020-12-01,0
312050,Cristina,2020,1,2020-1-01,0
312050,Cristina,2020,2,2020-2-01,1
312050,Cristina,2020,3,2020-3-01,0
312050,Cristina,2020,4,2020-4-01,0
312050,Cristina,2020,5,2020-5-01,0
312050,Cristina,2020,6,2020-6-01,0
312050,Cristina,2020,7,2020-7-01,0
312050,Cristina,2020,8,2020-8-01,0
312050,Cristina,2020,9,2020-9-01,0
312050,Cristina,2020,10,2020-10-01,0
312050,Cristina,2020,11,2020-11-01,0
312050,Cristina,2020,12,2020-12-01,0
312090,Curvelo,2020,1,2020-1-01,0
312090,Curvelo,2020,2,2020-2-01,0
312090,Curvelo,2020,3,2020-3-01,1
312090,Curvelo,2020,4,2020-4-01,2
312090,Curvelo,2020,5,2020-5-01,0
312090,Curvelo,2020,6,2020-6-01,0
312090,Curvelo,2020,7,2020-7-01,0
312090,Curvelo,2020,8,2020-8-01,0
312090,Curvelo,2020,9,2020-9-01,0
312090,Curvelo,2020,10,2020-10-01,0
312090,Curvelo,2020,11,2020-11-01,0
312090,Curvelo,2020,12,2020-12-01,0
312230,Divinópolis,2020,1,2020-1-01,0
312230,Divinópolis,2020,2,2020-2-01,3
312230,Divinópolis,2020,3,2020-3-01,0
312230,Divinópolis,2020,4,2020-4-01,0
312230,Divinópolis,2020,5,2020-5-01,0
312230,Divinópolis,2020,6,2020-6-01,0
312230,Divinópolis,2020,7,2020-7-01,1
312230,Divinópolis,2020,8,2020-8-01,0
312230,Divinópolis,2020,9,2020-9-01,0
312230,Divinópolis,2020,10,2020-10-01,0
312230,Divinópolis,2020,11,2020-11-01,0
312230,Divinópolis,2020,12,2020-12-01,0
312250,Dom Cavati,2020,1,2020-1-01,0
312250,Dom Cavati,2020,2,2020-2-01,1
312250,Dom Cavati,2020,3,2020-3-01,0
312250,Dom Cavati,2020,4,2020-4-01,0
312250,Dom Cavati,2020,5,2020-5-01,0
312250,Dom Cavati,2020,6,2020-6-01,0
312250,Dom Cavati,2020,7,2020-7-01,0
312250,Dom Cavati,2020,8,2020-8-01,0
312250,Dom Cavati,2020,9,2020-9-01,0
312250,Dom Cavati,2020,10,2020-10-01,0
312250,Dom Cavati,2020,11,2020-11-01,0
312250,Dom Cavati,2020,12,2020-12-01,0
312270,Dom Silvério,2020,1,2020-1-01,0
312270,Dom Silvério,2020,2,2020-2-01,0
312270,Dom Silvério,2020,3,2020-3-01,0
312270,Dom Silvério,2020,4,2020-4-01,0
312270,Dom Silvério,2020,5,2020-5-01,0
312270,Dom Silvério,2020,6,2020-6-01,1
312270,Dom Silvério,2020,7,2020-7-01,0
312270,Dom Silvério,2020,8,2020-8-01,0
312270,Dom Silvério,2020,9,2020-9-01,0
312270,Dom Silvério,2020,10,2020-10-01,0
312270,Dom Silvério,2020,11,2020-11-01,0
312270,Dom Silvério,2020,12,2020-12-01,0
312290,Dona Eusébia,2020,1,2020-1-01,0
312290,Dona Eusébia,2020,2,2020-2-01,0
312290,Dona Eusébia,2020,3,2020-3-01,0
312290,Dona Eusébia,2020,4,2020-4-01,2
312290,Dona Eusébia,2020,5,2020-5-01,0
312290,Dona Eusébia,2020,6,2020-6-01,0
312290,Dona Eusébia,2020,7,2020-7-01,0
312290,Dona Eusébia,2020,8,2020-8-01,0
312290,Dona Eusébia,2020,9,2020-9-01,0
312290,Dona Eusébia,2020,10,2020-10-01,0
312290,Dona Eusébia,2020,11,2020-11-01,0
312290,Dona Eusébia,2020,12,2020-12-01,0
312340,Doresópolis,2020,1,2020-1-01,0
312340,Doresópolis,2020,2,2020-2-01,0
312340,Doresópolis,2020,3,2020-3-01,1
312340,Doresópolis,2020,4,2020-4-01,0
312340,Doresópolis,2020,5,2020-5-01,0
312340,Doresópolis,2020,6,2020-6-01,0
312340,Doresópolis,2020,7,2020-7-01,0
312340,Doresópolis,2020,8,2020-8-01,0
312340,Doresópolis,2020,9,2020-9-01,0
312340,Doresópolis,2020,10,2020-10-01,0
312340,Doresópolis,2020,11,2020-11-01,0
312340,Doresópolis,2020,12,2020-12-01,0
312610,Formiga,2020,1,2020-1-01,0
312610,Formiga,2020,2,2020-2-01,1
312610,Formiga,2020,3,2020-3-01,2
312610,Formiga,2020,4,2020-4-01,0
312610,Formiga,2020,5,2020-5-01,0
312610,Formiga,2020,6,2020-6-01,0
312610,Formiga,2020,7,2020-7-01,0
312610,Formiga,2020,8,2020-8-01,0
312610,Formiga,2020,9,2020-9-01,0
312610,Formiga,2020,10,2020-10-01,0
312610,Formiga,2020,11,2020-11-01,0
312610,Formiga,2020,12,2020-12-01,0
312670,Francisco Sá,2020,1,2020-1-01,1
312670,Francisco Sá,2020,2,2020-2-01,0
312670,Francisco Sá,2020,3,2020-3-01,0
312670,Francisco Sá,2020,4,2020-4-01,0
312670,Francisco Sá,2020,5,2020-5-01,0
312670,Francisco Sá,2020,6,2020-6-01,0
312670,Francisco Sá,2020,7,2020-7-01,0
312670,Francisco Sá,2020,8,2020-8-01,0
312670,Francisco Sá,2020,9,2020-9-01,0
312670,Francisco Sá,2020,10,2020-10-01,0
312670,Francisco Sá,2020,11,2020-11-01,0
312670,Francisco Sá,2020,12,2020-12-01,0
312720,Funilândia,2020,1,2020-1-01,0
312720,Funilândia,2020,2,2020-2-01,0
312720,Funilândia,2020,3,2020-3-01,0
312720,Funilândia,2020,4,2020-4-01,0
312720,Funilândia,2020,5,2020-5-01,1
312720,Funilândia,2020,6,2020-6-01,0
312720,Funilândia,2020,7,2020-7-01,0
312720,Funilândia,2020,8,2020-8-01,0
312720,Funilândia,2020,9,2020-9-01,0
312720,Funilândia,2020,10,2020-10-01,0
312720,Funilândia,2020,11,2020-11-01,0
312720,Funilândia,2020,12,2020-12-01,0
312810,Guapé,2020,1,2020-1-01,0
312810,Guapé,2020,2,2020-2-01,1
312810,Guapé,2020,3,2020-3-01,0
312810,Guapé,2020,4,2020-4-01,0
312810,Guapé,2020,5,2020-5-01,0
312810,Guapé,2020,6,2020-6-01,0
312810,Guapé,2020,7,2020-7-01,0
312810,Guapé,2020,8,2020-8-01,0
312810,Guapé,2020,9,2020-9-01,0
312810,Guapé,2020,10,2020-10-01,0
312810,Guapé,2020,11,2020-11-01,0
312810,Guapé,2020,12,2020-12-01,0
312980,Ibirité,2020,1,2020-1-01,0
312980,Ibirité,2020,2,2020-2-01,0
312980,Ibirité,2020,3,2020-3-01,1
312980,Ibirité,2020,4,2020-4-01,1
312980,Ibirité,2020,5,2020-5-01,0
312980,Ibirité,2020,6,2020-6-01,0
312980,Ibirité,2020,7,2020-7-01,0
312980,Ibirité,2020,8,2020-8-01,0
312980,Ibirité,2020,9,2020-9-01,0
312980,Ibirité,2020,10,2020-10-01,0
312980,Ibirité,2020,11,2020-11-01,0
312980,Ibirité,2020,12,2020-12-01,0
313010,Igarapé,2020,1,2020-1-01,0
313010,Igarapé,2020,2,2020-2-01,1
313010,Igarapé,2020,3,2020-3-01,0
313010,Igarapé,2020,4,2020-4-01,0
313010,Igarapé,2020,5,2020-5-01,0
313010,Igarapé,2020,6,2020-6-01,0
313010,Igarapé,2020,7,2020-7-01,0
313010,Igarapé,2020,8,2020-8-01,0
313010,Igarapé,2020,9,2020-9-01,0
313010,Igarapé,2020,10,2020-10-01,0
313010,Igarapé,2020,11,2020-11-01,0
313010,Igarapé,2020,12,2020-12-01,0
313090,Inhapim,2020,1,2020-1-01,0
313090,Inhapim,2020,2,2020-2-01,1
313090,Inhapim,2020,3,2020-3-01,0
313090,Inhapim,2020,4,2020-4-01,0
313090,Inhapim,2020,5,2020-5-01,0
313090,Inhapim,2020,6,2020-6-01,0
313090,Inhapim,2020,7,2020-7-01,0
313090,Inhapim,2020,8,2020-8-01,0
313090,Inhapim,2020,9,2020-9-01,0
313090,Inhapim,2020,10,2020-10-01,0
313090,Inhapim,2020,11,2020-11-01,0
313090,Inhapim,2020,12,2020-12-01,0
313130,Ipatinga,2020,1,2020-1-01,0
313130,Ipatinga,2020,2,2020-2-01,1
313130,Ipatinga,2020,3,2020-3-01,2
313130,Ipatinga,2020,4,2020-4-01,1
313130,Ipatinga,2020,5,2020-5-01,1
313130,Ipatinga,2020,6,2020-6-01,0
313130,Ipatinga,2020,7,2020-7-01,0
313130,Ipatinga,2020,8,2020-8-01,1
313130,Ipatinga,2020,9,2020-9-01,0
313130,Ipatinga,2020,10,2020-10-01,0
313130,Ipatinga,2020,11,2020-11-01,0
313130,Ipatinga,2020,12,2020-12-01,0
313170,Itabira,2020,1,2020-1-01,0
313170,Itabira,2020,2,2020-2-01,1
313170,Itabira,2020,3,2020-3-01,0
313170,Itabira,2020,4,2020-4-01,0
313170,Itabira,2020,5,2020-5-01,0
313170,Itabira,2020,6,2020-6-01,0
313170,Itabira,2020,7,2020-7-01,0
313170,Itabira,2020,8,2020-8-01,0
313170,Itabira,2020,9,2020-9-01,1
313170,Itabira,2020,10,2020-10-01,0
313170,Itabira,2020,11,2020-11-01,0
